gameindex,year,month,day,round,hometeamindex,awayteamindex,homewinodds,drawodds,awaywinodds,overtime,homescore,awayscore
1,2009,3,13,,8,6,1.69,20.33,2.15,0,19,18
2,2009,3,13,,7,12,1.4,22.67,2.93,-1,17,16
3,2009,3,14,,2,5,2.52,21.67,1.51,0,34,12
4,2009,3,14,,16,3,1.42,21.67,2.87,0,18,10
5,2009,3,14,,9,13,1.4,22.33,2.95,0,26,18
6,2009,3,15,,4,1,1.56,20.33,2.41,0,12,52
7,2009,3,15,,10,11,1.42,23.33,2.85,0,34,20
8,2009,3,16,,15,14,1.52,20.33,2.51,0,34,26
9,2009,3,20,,8,7,1.65,19.75,2.21,0,16,14
10,2009,3,20,,1,13,1.58,19.75,2.36,0,8,14
11,2009,3,21,,6,15,1.35,22.5,3.16,0,42,14
12,2009,3,21,,3,2,2.48,21.25,1.52,0,26,28
13,2009,3,21,,12,10,1.48,21.25,2.62,0,16,10
14,2009,3,22,,5,9,1.51,21.25,2.51,0,24,26
15,2009,3,22,,14,4,1.49,21.25,2.58,0,4,28
16,2009,3,23,,16,11,1.67,19.25,2.2,0,12,24
17,2009,3,27,,10,2,1.67,19.75,2.19,0,20,12
18,2009,3,27,,15,4,2.34,20.25,1.59,0,40,24
19,2009,3,28,,6,7,1.78,18.75,2.03,0,12,26
20,2009,3,28,,13,14,1.36,23.75,3.1,0,18,16
21,2009,3,28,,9,8,1.53,20.25,2.48,0,10,26
22,2009,3,29,,12,16,1.39,23.5,2.97,0,10,6
23,2009,3,29,,1,11,1.51,20.75,2.53,0,22,12
24,2009,3,30,,5,3,1.18,27.67,4.5,0,10,12
25,2009,4,3,,4,13,2.26,20,1.64,0,24,6
26,2009,4,3,,8,12,1.46,21.33,2.67,0,12,25
27,2009,4,4,,7,10,1.19,27,4.44,0,6,18
28,2009,4,4,,3,15,1.89,18.25,1.91,0,42,22
29,2009,4,5,,11,5,2.47,21.5,1.54,0,26,12
30,2009,4,5,,2,16,1.56,20.25,2.43,0,24,12
31,2009,4,5,,9,1,1.46,21.25,2.71,0,16,22
32,2009,4,6,,14,6,2.12,19.25,1.73,0,23,18
33,2009,4,10,,4,8,2.53,20.75,1.52,0,24,28
34,2009,4,10,,13,12,2.58,21.5,1.5,0,8,22
35,2009,4,11,,7,3,1.23,26.5,4.08,0,16,14
36,2009,4,11,,6,10,1.6,20.25,2.33,0,10,14
37,2009,4,11,,16,14,1.78,18.75,2.04,0,14,24
38,2009,4,12,,5,15,1.38,23,3.04,0,23,10
39,2009,4,12,,11,9,1.62,20.25,2.26,0,24,22
40,2009,4,13,,2,1,1.88,17.75,1.94,0,14,12
41,2009,4,17,,3,8,2.55,21.25,1.5,0,18,38
42,2009,4,17,,10,14,1.35,24.75,3.13,0,16,10
43,2009,4,18,,1,5,2.56,21.75,1.5,0,8,24
44,2009,4,18,,12,11,1.43,22.5,2.78,0,18,24
45,2009,4,19,,13,2,2.49,21.25,1.53,0,18,48
46,2009,4,19,,16,6,2.4,20.17,1.55,0,10,34
47,2009,4,19,,9,4,1.46,23,2.63,-1,17,16
48,2009,4,20,,15,7,2.78,23.75,1.42,0,16,6
49,2009,4,24,,8,13,1.25,24.25,3.8,0,40,8
50,2009,4,24,,1,16,1.54,20.25,2.46,0,32,26
51,2009,4,25,,6,5,1.71,19.5,2.13,0,26,12
52,2009,4,25,,7,9,1.44,21.75,2.74,-1,14,14
53,2009,4,25,,4,12,2.41,20.25,1.56,0,0,29
54,2009,4,26,,15,11,0,0,0,0,26,24
55,2009,4,26,,14,2,1.74,19.25,2.08,0,20,30
56,2009,4,27,,3,10,1.75,18.75,2.07,0,34,20
57,2009,5,1,,13,6,2.61,21.25,1.49,0,28,18
58,2009,5,1,,5,7,1.93,18.13,1.88,0,8,22
59,2009,5,2,,11,8,2.63,21.75,1.48,0,28,12
60,2009,5,2,,14,3,1.62,20.25,2.28,0,10,18
61,2009,5,2,,16,4,2.26,19.75,1.63,0,12,19
62,2009,5,2,,10,1,1.46,22,2.72,0,22,14
63,2009,5,3,,2,15,1.49,22,2.58,0,22,20
64,2009,5,3,,12,9,1.5,21.25,2.55,0,12,11
65,2009,5,9,,6,12,1.54,20.25,2.43,0,24,20
66,2009,5,10,,8,5,1.51,21.25,2.53,0,20,22
67,2009,5,10,,11,10,1.6,20,2.32,0,23,18
68,2009,5,11,,4,7,2.43,20.25,1.54,0,12,28
69,2009,5,15,,8,10,1.42,23,2.85,0,32,18
70,2009,5,15,,12,2,1.59,20.25,2.33,0,20,18
71,2009,5,16,,3,16,1.42,22.25,2.83,0,26,22
72,2009,5,16,,4,11,2.34,20.75,1.58,0,6,38
73,2009,5,17,,15,1,1.78,19.25,2.04,0,22,23
74,2009,5,17,,5,13,1.4,23.5,2.91,0,34,10
75,2009,5,17,,9,6,1.47,21.75,2.67,0,12,34
76,2009,5,18,,7,14,1.23,27,4.18,0,46,6
77,2009,5,22,,15,8,3.51,24.25,1.29,0,18,20
78,2009,5,22,,13,1,2.88,21.75,1.41,-1,16,16
79,2009,5,23,,3,4,1.4,21.75,2.94,0,48,6
80,2009,5,23,,2,7,2.31,19.75,1.61,0,26,10
81,2009,5,23,,16,12,3.01,22.25,1.39,0,4,26
82,2009,5,24,,10,5,1.8,18.25,2.01,0,18,17
83,2009,5,24,,14,9,1.83,18.25,1.98,0,38,12
84,2009,5,25,,6,11,1.66,19.75,2.21,0,36,10
85,2009,5,29,,12,3,1.43,22,2.84,0,38,10
86,2009,5,30,,13,16,1.5,21.25,2.57,0,10,13
87,2009,5,31,,11,2,2.18,19.25,1.68,0,22,14
88,2009,5,31,,9,15,1.5,21.25,2.58,0,14,0
89,2009,6,1,,1,14,1.43,23.75,2.78,0,18,34
90,2009,6,5,,7,8,1.48,20.39,2.68,0,48,4
91,2009,6,5,,15,3,1.83,18.42,2,0,10,26
92,2009,6,6,,6,1,1.35,22.67,3.21,0,46,12
93,2009,6,6,,5,4,1.25,24.58,3.87,0,38,18
94,2009,6,7,,11,13,1.26,23.67,3.72,0,18,20
95,2009,6,7,,16,9,2.09,18.89,1.74,0,18,10
96,2009,6,8,,10,12,2.03,18.41,1.79,0,28,24
97,2009,6,12,,8,2,2.14,19.81,1.7,0,22,44
98,2009,6,12,,9,11,1.62,20.16,2.26,0,13,0
99,2009,6,13,,1,7,4.23,25,1.21,0,22,28
100,2009,6,13,,3,5,2.19,19.62,1.67,0,6,20
101,2009,6,13,,4,10,2.22,19.87,1.66,0,20,24
102,2009,6,14,,12,6,1.64,19.86,2.25,0,32,18
103,2009,6,14,,14,16,1.4,21.81,2.94,0,22,24
104,2009,6,15,,13,15,1.63,20.9,2.27,0,6,23
105,2009,6,19,,2,3,1.25,24.6,3.94,0,19,12
106,2009,6,20,,6,4,2.03,18.27,1.78,0,24,22
107,2009,6,21,,5,14,1.66,19.29,2.21,0,20,14
108,2009,6,21,,7,15,1.51,20.87,2.55,0,14,12
109,2009,6,22,,16,8,1.82,18.29,1.99,0,46,12
110,2009,6,26,,2,6,1.47,22.67,2.64,0,30,18
111,2009,6,26,,15,12,2.89,22.91,1.41,0,10,21
112,2009,6,27,,4,16,1.99,19.29,1.82,0,19,12
113,2009,6,27,,10,9,1.48,22.21,2.59,0,28,12
114,2009,6,28,,13,8,2.15,19.86,1.7,0,21,14
115,2009,6,28,,14,7,2.72,22.21,1.45,0,26,16
116,2009,6,29,,11,1,1.38,22.99,3.02,0,25,20
117,2009,7,3,,12,4,1.22,26.89,4.36,0,34,12
118,2009,7,3,,8,9,0,0,0,0,28,14
119,2009,7,4,,6,16,1.22,25.76,4.14,0,24,4
120,2009,7,4,,7,11,1.33,22.94,3.32,0,18,14
121,2009,7,4,,1,15,1.82,18.41,2,0,20,54
122,2009,7,5,,3,13,1.8,18.35,2.01,0,38,34
123,2009,7,5,,14,10,1.53,20.88,2.48,0,34,28
124,2009,7,6,,5,2,1.65,19.62,2.22,0,19,12
125,2009,7,10,,1,3,1.53,21.01,2.5,0,36,12
126,2009,7,11,,11,14,1.46,21.41,2.7,0,23,4
127,2009,7,12,,12,5,1.44,21.8,2.74,0,48,18
128,2009,7,12,,9,2,1.42,21.81,2.82,0,14,18
129,2009,7,13,,10,13,1.22,25.53,4.17,0,18,12
130,2009,7,17,,2,10,1.64,19.82,2.25,0,23,16
131,2009,7,17,,8,1,1.5,21.4,2.59,0,12,44
132,2009,7,18,,16,5,2.6,21.72,1.49,0,26,32
133,2009,7,18,,3,14,1.78,18.77,2.04,0,27,14
134,2009,7,19,,15,6,1.7,18.97,2.15,0,34,14
135,2009,7,19,,4,9,1.68,18.88,2.19,0,24,30
136,2009,7,20,,13,7,2.39,20.82,1.56,0,18,16
137,2009,7,24,,5,11,1.38,22.03,3,0,44,20
138,2009,7,24,,10,8,1.2,25.78,4.44,0,34,18
139,2009,7,25,,7,16,1.27,25.06,3.63,0,30,10
140,2009,7,25,,6,3,1.37,22.05,3.1,0,20,28
141,2009,7,25,,2,13,1.27,24.6,3.64,0,8,27
142,2009,7,26,,9,12,2.63,21.25,1.48,0,4,29
143,2009,7,26,,14,15,1.65,19.83,2.21,0,4,25
144,2009,7,27,,1,4,1.39,22.52,3.01,0,40,20
145,2009,7,31,,12,7,1.5,22.01,2.58,0,26,12
146,2009,7,31,,10,6,1.48,21.84,2.63,0,18,34
147,2009,8,1,,3,9,1.3,23.39,3.52,-1,32,32
148,2009,8,1,,11,4,0,0,0,0,18,30
149,2009,8,1,,14,8,2.21,19.99,1.67,0,56,0
150,2009,8,2,,1,2,2.95,22.67,1.39,0,18,26
151,2009,8,2,,16,13,2.77,21.74,1.44,0,0,30
152,2009,8,3,,15,5,2.74,22.29,1.44,0,19,18
153,2009,8,7,,7,6,1.43,20.75,2.8,0,20,8
154,2009,8,7,,3,12,2.75,20.75,1.44,0,6,25
155,2009,8,8,,2,14,1.2,25,4.33,0,23,20
156,2009,8,8,,5,1,1.23,24.5,4.05,0,22,36
157,2009,8,9,,13,11,1.49,20.25,2.59,0,40,8
158,2009,8,9,,4,15,2.75,20.75,1.44,0,10,17
159,2009,8,9,,9,10,2.31,19,1.61,0,10,30
160,2009,8,10,,8,16,1.18,26.5,4.55,0,30,10
161,2009,8,14,,1,10,1.84,18.8,1.96,0,14,22
162,2009,8,14,,6,2,1.58,20.78,2.36,0,12,22
163,2009,8,15,,13,9,1.19,27.53,4.44,0,40,4
164,2009,8,15,,14,12,2.78,22.83,1.43,0,24,12
165,2009,8,15,,4,5,4.43,26.94,1.2,0,12,44
166,2009,8,16,,8,3,1.55,21.92,2.4,0,58,24
167,2009,8,16,,16,15,3.89,24.6,1.26,0,10,56
168,2009,8,17,,11,7,2.09,19.99,1.73,0,26,14
169,2009,8,21,,15,13,2.32,20.79,1.61,0,18,26
170,2009,8,21,,12,8,1.28,24.59,3.72,0,2,12
171,2009,8,22,,3,1,1.35,24.59,3.08,0,40,10
172,2009,8,22,,11,6,1.58,20.31,2.38,0,32,26
173,2009,8,23,,9,14,1.9,18,1.9,0,34,20
174,2009,8,23,,7,5,1.94,18.92,1.87,0,16,20
175,2009,8,23,,10,16,1.1,30.38,6.39,0,20,10
176,2009,8,24,,2,4,1.12,30.91,5.8,0,28,4
177,2009,8,28,,13,3,1.38,24.11,2.99,0,48,6
178,2009,8,28,,6,8,2.75,22,1.44,0,10,16
179,2009,8,29,,1,12,6.45,30.91,1.1,0,41,6
180,2009,8,29,,7,4,1.08,34.2,7.3,0,38,4
181,2009,8,29,,10,15,1.35,24.6,3.14,0,36,24
182,2009,8,30,,2,9,1.1,31.82,6.48,0,40,20
183,2009,8,30,,5,16,1.06,33.58,8.23,0,18,16
184,2009,8,31,,14,11,1.8,18.92,2.01,0,30,14
185,2009,9,4,,12,13,1.64,20.31,2.25,0,37,0
186,2009,9,4,,15,2,2.61,20.99,1.5,0,34,12
187,2009,9,5,,5,10,1.32,26,3.31,0,38,4
188,2009,9,5,,16,1,2.13,18.49,1.72,0,24,26
189,2009,9,5,,9,7,3.15,23.98,1.35,0,0,30
190,2009,9,6,,8,14,1.2,28.51,4.29,0,22,10
191,2009,9,6,,11,3,1.47,22.36,2.67,0,35,0
192,2009,9,6,,4,6,2.36,19.45,1.6,0,16,32
193,2009,9,11,,7,5,1.75,18.61,2.09,0,40,12
194,2009,9,12,,2,11,1.5,20.6,2.58,0,26,12
195,2009,9,12,,10,8,2.42,19.4,1.57,0,32,40
196,2009,9,13,,12,13,1.42,20.71,2.87,0,12,25
197,2009,9,18,,13,10,1.34,24.2,3.22,0,27,2
198,2009,9,19,,8,12,2.02,18.39,1.8,0,24,10
199,2009,9,25,,2,13,2.02,18.4,1.8,0,12,22
200,2009,9,26,,7,8,1.38,23.77,3.07,0,40,10
201,2009,10,4,,13,7,2.45,19.24,1.57,0,16,23
202,2010,3,12,,8,6,1.84,18.81,1.95,0,30,24
203,2010,3,12,,13,12,1.64,19.6,2.24,0,12,18
204,2010,3,13,,3,14,1.41,21.89,2.97,0,34,16
205,2010,3,13,,16,7,2.78,20.49,1.44,0,10,14
206,2010,3,13,,2,11,1.24,25.71,4.05,0,16,20
207,2010,3,14,,1,4,1.5,20.06,2.61,0,10,36
208,2010,3,14,,10,9,1.34,23.03,3.27,0,24,18
209,2010,3,15,,15,5,1.73,19.06,2.13,0,26,22
210,2010,3,19,,1,10,1.73,18.54,2.12,-1,18,19
211,2010,3,19,,12,2,1.52,19.02,2.57,0,26,6
212,2010,3,20,,6,3,1.65,19.03,2.29,0,28,20
213,2010,3,20,,11,7,2.45,19.95,1.56,0,14,20
214,2010,3,20,,9,16,1.49,19.98,2.67,0,30,16
215,2010,3,21,,4,15,2.15,19.34,1.69,0,44,32
216,2010,3,21,,13,5,1.39,21.96,3.01,0,24,20
217,2010,3,22,,14,8,1.67,19.67,2.21,0,22,14
218,2010,3,26,,12,6,1.37,22.7,3.12,0,33,8
219,2010,3,26,,15,13,2.5,19.08,1.54,0,23,12
220,2010,3,27,,10,14,1.35,23.21,3.23,0,24,4
221,2010,3,27,,5,11,1.55,19.61,2.48,0,36,12
222,2010,3,27,,3,7,2.14,18.95,1.72,0,10,16
223,2010,3,28,,2,4,2.01,19.04,1.83,0,60,14
224,2010,3,28,,8,9,1.52,19.59,2.54,0,16,48
225,2010,3,29,,16,1,2.15,18.8,1.7,0,8,30
226,2010,4,2,,4,8,1.34,21.54,3.22,0,25,6
227,2010,4,2,,7,12,1.72,18.85,2.12,0,17,4
228,2010,4,3,,6,10,1.52,20.75,2.51,0,32,18
229,2010,4,3,,16,13,3.96,23.34,1.24,0,11,0
230,2010,4,4,,14,15,2.13,18.64,1.71,0,22,35
231,2010,4,4,,9,5,2.16,18.64,1.7,0,6,14
232,2010,4,5,,1,2,2.52,19.51,1.53,0,38,16
233,2010,4,5,,11,3,1.66,18.84,2.22,0,30,34
234,2010,4,9,,12,8,1.09,31.93,6.62,0,34,16
235,2010,4,9,,10,7,2.6,20.46,1.49,0,20,16
236,2010,4,10,,2,9,1.36,22.39,3.11,0,24,30
237,2010,4,10,,6,15,1.77,18.17,2.06,0,16,23
238,2010,4,10,,1,11,1.44,20.95,2.75,0,28,10
239,2010,4,11,,3,4,1.83,17.67,2,0,28,6
240,2010,4,11,,5,16,1.35,22.85,3.16,0,40,12
241,2010,4,12,,13,14,1.33,22.73,3.26,0,14,24
242,2010,4,16,,10,12,2.06,19.06,1.76,0,6,19
243,2010,4,16,,15,2,1.61,19.08,2.3,0,4,24
244,2010,4,17,,4,14,1.49,20.35,2.62,0,36,6
245,2010,4,17,,11,6,1.32,21.68,3.31,0,36,18
246,2010,4,18,,13,1,1.99,18.51,1.82,0,22,8
247,2010,4,18,,8,16,1.39,21.05,3,0,44,16
248,2010,4,18,,9,3,1.7,18.44,2.15,0,12,40
249,2010,4,19,,7,5,1.37,21.77,3.12,0,16,18
250,2010,4,23,,2,8,1.39,22.09,2.99,0,36,18
251,2010,4,23,,6,13,2.28,20.33,1.59,0,18,24
252,2010,4,24,,16,11,2.57,19.9,1.5,0,26,6
253,2010,4,24,,3,15,1.47,20.35,2.67,0,26,18
254,2010,4,25,,7,9,1.39,22,3,0,40,6
255,2010,4,25,,12,4,1.47,19.9,2.68,0,28,6
256,2010,4,25,,14,1,1.77,19.05,2.06,0,24,26
257,2010,4,26,,5,10,1.24,22.94,3.93,0,22,24
258,2010,4,30,,13,2,1.43,21.68,2.82,0,26,10
259,2010,4,30,,8,11,1.5,21.06,2.58,0,22,30
260,2010,5,1,,12,16,1.16,27.5,5.07,0,38,0
261,2010,5,1,,6,7,2.3,19.52,1.61,0,6,34
262,2010,5,1,,10,3,1.62,19.69,2.28,0,38,24
263,2010,5,1,,9,14,1.44,21.89,2.75,0,16,23
264,2010,5,2,,1,5,2.3,19.69,1.62,0,22,30
265,2010,5,2,,15,4,1.51,21.28,2.53,0,8,12
266,2010,5,8,,5,12,2.42,19.91,1.56,0,24,6
267,2010,5,9,,7,8,1.2,25.35,4.34,0,14,36
268,2010,5,9,,11,10,1.92,18.72,1.89,0,36,38
269,2010,5,10,,4,6,1.28,23.09,3.61,0,14,32
270,2010,5,14,,8,10,1.87,17.83,1.95,0,28,6
271,2010,5,14,,2,12,2.55,20.46,1.51,0,6,19
272,2010,5,15,,4,11,1.8,17.83,2.02,0,18,34
273,2010,5,15,,14,7,2.27,19.7,1.62,0,6,17
274,2010,5,15,,9,6,1.48,23.66,2.68,0,24,12
275,2010,5,16,,16,3,2.68,20.86,1.47,0,14,34
276,2010,5,16,,15,1,1.72,18.65,2.13,0,10,50
277,2010,5,17,,5,13,1.51,20.25,2.54,0,12,19
278,2010,5,21,,11,15,2.01,17.67,1.82,0,6,23
279,2010,5,22,,13,16,1.34,21.67,3.23,0,18,22
280,2010,5,23,,12,14,1.68,19.61,2.17,0,14,22
281,2010,5,23,,9,1,1.73,19.41,2.09,0,26,24
282,2010,5,24,,3,2,1.43,20.84,2.82,0,31,16
283,2010,5,28,,15,9,1.43,21.5,2.79,0,50,6
284,2010,5,28,,12,13,1.53,20.2,2.46,0,30,0
285,2010,5,29,,6,5,2.13,19.2,1.71,0,20,24
286,2010,5,29,,16,8,2.28,19,1.61,0,4,20
287,2010,5,30,,1,3,1.92,18.6,1.87,0,42,22
288,2010,5,30,,7,2,1.82,19,2.01,0,23,12
289,2010,5,31,,10,4,1.4,21.6,2.87,0,16,30
290,2010,6,4,,13,7,2.14,18.5,1.7,0,24,10
291,2010,6,4,,2,15,2.15,19,1.7,0,12,19
292,2010,6,5,,4,16,1.36,22.5,3.1,0,18,42
293,2010,6,5,,3,11,1.48,21.25,2.59,0,28,10
294,2010,6,6,,5,8,1.48,22,2.61,0,6,22
295,2010,6,6,,14,10,1.6,19.25,2.31,0,28,24
296,2010,6,6,,9,12,2.86,22,1.41,0,20,22
297,2010,6,7,,1,6,1.41,21.75,2.85,0,32,4
298,2010,6,11,,10,5,1.47,21.27,2.69,0,28,14
299,2010,6,12,,6,14,2.33,19.79,1.6,0,16,8
300,2010,6,13,,8,1,1.74,18.47,2.12,0,50,22
301,2010,6,13,,11,9,1.57,20.31,2.41,0,24,32
302,2010,6,14,,7,4,2.36,21.03,1.6,0,6,38
303,2010,6,18,,2,10,2.15,19.17,1.71,0,24,25
304,2010,6,18,,8,3,1.51,19.97,2.58,0,12,22
305,2010,6,19,,5,1,1.59,19.4,2.37,0,26,25
306,2010,6,19,,7,6,1.44,21.33,2.73,0,58,12
307,2010,6,20,,15,14,1.39,22.2,3.01,0,18,8
308,2010,6,20,,16,12,3,21.44,1.4,0,4,22
309,2010,6,21,,11,13,2.46,18.77,1.56,0,6,4
310,2010,6,25,,3,5,1.44,21.8,2.8,0,40,22
311,2010,6,25,,12,15,1.36,22.64,3.16,0,34,10
312,2010,6,26,,1,7,2.46,20.08,1.55,0,16,14
313,2010,6,26,,6,16,1.47,21.24,2.69,-1,19,20
314,2010,6,26,,13,8,1.8,18.52,2.04,0,6,10
315,2010,6,27,,10,11,1.49,20.99,2.63,0,16,24
316,2010,6,27,,4,9,1.81,18.43,2.01,0,18,20
317,2010,6,28,,14,2,1.5,20.67,2.61,0,10,18
318,2010,7,2,,8,15,2.44,19.7,1.55,0,14,16
319,2010,7,3,,16,2,3.01,24.27,1.38,0,12,24
320,2010,7,4,,9,13,1.6,19.4,2.31,0,35,6
321,2010,7,4,,14,4,1.58,20.48,2.37,0,12,22
322,2010,7,5,,12,3,1.38,22.52,3.04,0,8,12
323,2010,7,9,,4,1,1.97,17.89,1.84,0,18,14
324,2010,7,9,,15,10,1.55,18.85,2.44,0,15,14
325,2010,7,10,,2,7,1.84,17.93,1.98,0,20,18
326,2010,7,10,,5,14,1.28,22.48,3.69,0,22,24
327,2010,7,11,,3,9,1.36,22.07,3.11,0,6,12
328,2010,7,11,,11,16,1.43,20.98,2.84,0,21,10
329,2010,7,12,,13,6,1.42,20.86,2.84,0,36,24
330,2010,7,16,,1,12,2.58,20.52,1.51,0,13,16
331,2010,7,16,,10,8,1.91,18.52,1.91,0,10,24
332,2010,7,17,,3,13,1.58,19.5,2.37,0,28,34
333,2010,7,17,,16,5,3.31,23.08,1.32,0,18,48
334,2010,7,17,,9,7,1.71,18.53,2.16,0,13,6
335,2010,7,18,,4,2,1.7,19.16,2.16,0,36,32
336,2010,7,18,,14,11,1.51,20.53,2.57,0,52,18
337,2010,7,19,,15,6,1.26,24.08,3.78,0,26,16
338,2010,7,23,,2,13,2.47,20.23,1.54,0,16,32
339,2010,7,23,,12,10,1.27,25.38,3.69,-1,10,11
340,2010,7,24,,6,11,1.62,20.04,2.28,-1,28,24
341,2010,7,24,,7,3,1.64,19.78,2.27,0,18,10
342,2010,7,24,,14,16,1.33,23.63,3.38,0,20,13
343,2010,7,25,,5,15,1.59,19.84,2.35,0,38,20
344,2010,7,25,,1,9,1.67,19.27,2.2,0,38,28
345,2010,7,26,,8,4,1.38,21.71,3,0,30,34
346,2010,7,30,,2,1,2.25,19.8,1.65,0,32,12
347,2010,7,30,,3,6,1.23,25.52,4.09,0,24,16
348,2010,7,31,,15,16,1.26,24.24,3.87,0,24,22
349,2010,7,31,,13,4,1.53,19.59,2.51,0,12,48
350,2010,8,1,,8,12,2.1,18.74,1.76,0,10,6
351,2010,8,1,,7,14,1.46,21.52,2.74,0,36,12
352,2010,8,1,,9,10,1.56,20.23,2.43,0,20,28
353,2010,8,2,,11,5,2.92,21.63,1.41,0,32,14
354,2010,8,6,,10,13,1.75,18.86,2.07,0,34,12
355,2010,8,6,,6,8,2.67,21.69,1.46,0,26,34
356,2010,8,7,,1,15,2.91,21.95,1.41,-1,34,30
357,2010,8,7,,16,9,2.21,19.65,1.68,0,10,37
358,2010,8,7,,5,7,1.61,20.3,2.32,0,26,6
359,2010,8,8,,4,12,2.02,18.33,1.8,0,12,19
360,2010,8,8,,11,2,1.94,18.6,1.87,0,30,6
361,2010,8,9,,14,3,1.82,18.53,2.01,0,30,26
362,2010,8,13,,16,4,3.29,22.32,1.33,0,18,12
363,2010,8,13,,8,13,1.74,18.52,2.1,0,14,30
364,2010,8,14,,2,14,1.82,18.62,2,0,14,28
365,2010,8,14,,10,6,1.16,25.94,4.87,0,37,18
366,2010,8,15,,15,3,2.02,18.52,1.8,0,43,18
367,2010,8,15,,7,1,1.45,21.43,2.74,0,18,16
368,2010,8,15,,9,11,1.46,20.32,2.72,0,22,10
369,2010,8,16,,12,5,1.45,20.54,2.74,0,32,10
370,2010,8,20,,3,1,1.5,20.24,2.55,0,54,18
371,2010,8,20,,11,8,1.94,17.25,1.85,0,44,18
372,2010,8,21,,7,16,1.25,23.21,3.78,0,24,4
373,2010,8,21,,6,2,2.35,19.09,1.58,0,20,22
374,2010,8,21,,5,9,1.47,19.84,2.66,0,19,16
375,2010,8,22,,13,15,1.67,18.69,2.19,0,18,20
376,2010,8,22,,14,12,2.32,19.1,1.6,0,32,16
377,2010,8,23,,4,10,1.59,19.1,2.34,0,14,23
378,2010,8,27,,1,13,2.6,20.53,1.49,0,24,16
379,2010,8,27,,9,8,1.49,20.85,2.61,0,36,4
380,2010,8,28,,14,6,1.12,30.28,5.7,0,48,4
381,2010,8,28,,11,12,2.27,18.83,1.63,0,18,26
382,2010,8,28,,16,10,2.96,21.54,1.39,0,30,16
383,2010,8,29,,4,5,1.56,18.84,2.41,0,30,14
384,2010,8,29,,15,7,1.42,21.67,2.83,0,26,14
385,2010,8,30,,2,3,2.59,19.92,1.5,0,18,24
386,2010,9,3,,10,15,1.56,18.58,2.44,0,21,18
387,2010,9,3,,8,14,2.5,19.48,1.53,0,16,18
388,2010,9,4,,3,16,1.32,23.07,3.37,0,50,12
389,2010,9,4,,6,4,4.03,25.41,1.23,0,8,18
390,2010,9,4,,13,9,1.8,18.42,2.01,0,12,26
391,2010,9,5,,12,1,1.58,19.1,2.4,0,38,24
392,2010,9,5,,5,2,1.45,21.39,2.72,0,24,30
393,2010,9,5,,7,11,1.08,32.39,7.01,0,34,4
394,2010,9,10,,10,9,1.54,20.36,2.45,0,28,16
395,2010,9,11,,3,14,1.52,20.36,2.5,0,22,24
396,2010,9,11,,15,4,1.84,18.69,1.97,-1,15,19
397,2010,9,12,,12,5,1.16,28.02,4.91,0,28,0
398,2010,9,17,,14,15,1.49,21.2,2.66,0,24,26
399,2010,9,18,,4,3,1.54,19.96,2.51,0,34,12
400,2010,9,24,,10,4,1.76,18.75,2.06,0,6,32
401,2010,9,25,,12,15,1.43,21,2.8,0,13,12
402,2010,10,3,,12,4,1.62,19.07,2.31,0,32,8
403,2011,3,11,,8,6,1.46,18.8,2.7,0,14,16
404,2011,3,11,,4,1,1.73,18.9,2.08,0,40,29
405,2011,3,12,,7,5,1.53,18.7,2.46,0,18,6
406,2011,3,12,,10,12,2.46,18.75,1.54,0,16,25
407,2011,3,12,,9,13,1.41,20,2.85,0,18,24
